                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.99128,                 1.8838,                 1.1031,                 1.1851,                 0.5614,                0.44349,                0.45402,                0.29268,                0.56892,                0.42013,                0.42912,                0.24309,                 1.4322,                 2.7335,                 1.8164,                 1.5418,               3.88e-05,               3.88e-05,               3.88e-05
                     36,                 0.9788,                 1.8805,                 1.0815,                 1.1813,                0.54536,                0.45841,                0.45788,                0.29504,                0.53607,                0.44109,                0.43177,                0.24548,                 1.4288,                  2.723,                 1.8169,                  1.539,                3.7e-05,                3.7e-05,                3.7e-05
                     37,                0.96709,                 1.8628,                 1.0664,                 1.1754,                0.53492,                0.46411,                0.45529,                0.29391,                0.56216,                0.42623,                0.42961,                0.24481,                 1.4373,                 2.7265,                 1.8243,                 1.5462,               3.52e-05,               3.52e-05,               3.52e-05
                     38,                0.95953,                 1.8365,                 1.0397,                 1.1661,                0.54162,                 0.4564,                0.45482,                0.29516,                0.53494,                0.43498,                0.43062,                0.24571,                 1.4406,                 2.7432,                 1.8182,                 1.5505,               3.34e-05,               3.34e-05,               3.34e-05
                     39,                0.95646,                 1.8233,                 1.0298,                  1.165,                0.53936,                0.45576,                0.45207,                0.29249,                0.55629,                0.42007,                0.42688,                0.24353,                 1.4422,                 2.7582,                 1.8256,                 1.5539,               3.16e-05,               3.16e-05,               3.16e-05
                     40,                0.95278,                 1.8228,                 1.0184,                 1.1604,                 0.5356,                0.45779,                0.45136,                0.29153,                 0.5211,                0.43838,                0.42389,                0.24169,                 1.4466,                 2.7695,                  1.829,                 1.5611,               2.98e-05,               2.98e-05,               2.98e-05
                     41,                 0.9388,                 1.6772,                 0.9001,                 1.1659,                0.53246,                0.45807,                0.44736,                 0.2907,                0.53756,                0.42638,                0.42213,                0.24122,                 1.4455,                 2.7831,                  1.818,                 1.5616,                2.8e-05,                2.8e-05,                2.8e-05
                     42,                0.91253,                   1.63,                0.84433,                 1.1466,                0.54849,                 0.4504,                0.44632,                0.28871,                0.54664,                 0.4317,                0.42203,                 0.2408,                 1.4441,                 2.8064,                 1.8305,                 1.5627,               2.62e-05,               2.62e-05,               2.62e-05
                     43,                0.90081,                 1.6117,                0.81863,                 1.1382,                0.56362,                 0.4395,                0.44589,                0.28877,                0.55346,                0.42553,                0.42098,                0.24078,                 1.4538,                 2.8332,                 1.8401,                  1.575,               2.44e-05,               2.44e-05,               2.44e-05
                     44,                 0.8865,                 1.5871,                 0.7883,                 1.1244,                 0.5485,                0.45098,                0.44537,                0.28898,                0.55462,                0.43015,                 0.4241,                 0.2418,                 1.4591,                 2.8454,                 1.8425,                 1.5814,               2.26e-05,               2.26e-05,               2.26e-05
                     45,                 0.8791,                 1.5668,                 0.7674,                 1.1206,                 0.5634,                0.44527,                0.44509,                0.28915,                0.55756,                0.42975,                0.42366,                0.24194,                 1.4613,                 2.8568,                 1.8497,                  1.586,               2.08e-05,               2.08e-05,               2.08e-05
                     46,                0.86644,                 1.5531,                 0.7452,                 1.1108,                0.56197,                0.44451,                0.44582,                0.28926,                0.55226,                0.42999,                 0.4221,                 0.2418,                 1.4655,                 2.8641,                 1.8581,                  1.593,                1.9e-05,                1.9e-05,                1.9e-05
                     47,                0.85477,                 1.5439,                0.73035,                 1.1015,                0.56219,                0.44475,                0.44442,                 0.2885,                0.55083,                0.43194,                 0.4226,                0.24163,                 1.4671,                 2.8705,                 1.8668,                 1.5945,               1.72e-05,               1.72e-05,               1.72e-05
                     48,                0.84483,                 1.5174,                0.71027,                 1.0972,                0.55297,                   0.45,                0.44365,                0.28796,                0.53795,                0.43642,                0.42113,                0.24106,                 1.4711,                 2.8852,                 1.8764,                 1.6007,               1.54e-05,               1.54e-05,               1.54e-05
                     49,                0.83761,                 1.5035,                  0.691,                 1.0894,                0.54577,                0.45536,                0.44341,                0.28791,                0.54321,                0.43527,                0.42106,                0.24083,                  1.473,                 2.8899,                 1.8791,                 1.6043,               1.36e-05,               1.36e-05,               1.36e-05
                     50,                0.82794,                 1.4933,                 0.6775,                 1.0843,                0.54267,                0.45721,                 0.4435,                0.28815,                0.54927,                0.43149,                0.42046,                0.24091,                  1.477,                 2.8978,                 1.8862,                 1.6104,               1.18e-05,               1.18e-05,               1.18e-05
